"address_id","address","country","state","city","street","phone_number","buyer_id","address_type"
"A1118000169599","KEE7SA","United Kingdom","England","Kingston-upon-Hull","High Street",7137647359,"B1312000371175","Home"
"A1118000200771","WEW8JB","United Kingdom","England","Worcester","Main Street",7710853427,"B1312000030692","Work"
"A1118000807784","EFA4NH","United Kingdom","England","Ely","Church Road",7378394187,"B1312000470361","Work"
"A1118000552813","CQQ3BP","United Kingdom","England","Coventry","Church Road",7682319383,"B1312000496204","Work"
"A1118000900917","AVG6XM","United Kingdom","Scotland","Aberdeen","Park Avenue",7219961901,"B1312000199527","Work"
"A1118000992520","NXD9XL","United Kingdom","England","Norwich","Station Road",7493143557,"B1312000318264","Work"
"A1118000565838","LVM6XD","United Kingdom","England","Lichfield","Church Road",7237004392,"B1312000443430","Home"
"A1118000755419","LHH1GO","United Kingdom","Northern Ireland","Lisburn","High Street",7394112427,"B1312000468366","Home"
"A1118000088377","WPC2UN","United Kingdom","England","Westminster","Station Road",7333736645,"B1312000075258","Home"
"A1118000697237","BDQ1LT","United Kingdom","Northern Ireland","Belfast","High Street",7371870194,"B1312000695190","Work"
"A1118000415115","CFN4BI","United Kingdom","England","Coventry","Church Road",7072519388,"B1312000371175","Home"
"A1118000920475","LMY7ZN","United Kingdom","England","Leicester","High Street",7285795872,"B1312000752660","Work"
"A1118000963913","WUU8PR","United Kingdom","England","Wells","Park Avenue",7107965415,"B1312000032970","Home"
"A1118000651906","KUD4RI","United Kingdom","England","Kingston-upon-Hull","Station Road",7162762271,"B1312000561978","Home"
"A1118000667549","PFC1HL","United Kingdom","Scotland","Perth","Main Street",7669061457,"B1312000103810","Work"
"A1118000363264","LHG3LQ","United Kingdom","England","Leicester","Park Avenue",7321526139,"B1312000542219","Work"
"A1118000678151","PGH1VM","United Kingdom","England","Peterborough","Park Avenue",7588350116,"B1312000427303","Home"
"A1118000868294","CME8AE","United Kingdom","England","Colchester","Main Street",7528803431,"B1312000643400","Home"
"A1118000769328","BIH9SB","United Kingdom","Northern Ireland","Belfast","Church Road",7801973297,"B1312000765473","Home"
"A1118000947568","GYZ6NX","United Kingdom","Scotland","Glasgow","Main Street",7437271007,"B1312000221153","Work"
"A1118000739701","TDI0RQ","United Kingdom","England","Truro","Church Road",7710681093,"B1312000285216","Work"
"A1118000203528","SUF2KL","United Kingdom","England","Sheffield","High Street",7088490390,"B1312000559105","Work"
"A1118000931718","DDJ1OL","United Kingdom","Scotland","Dundee","Church Road",7240399749,"B1312000546540","Home"
"A1118000895497","LXB3TB","United Kingdom","England","Liverpool","High Street",7561121006,"B1312000686119","Home"
"A1118000274520","BTR7IF","United Kingdom","Northern Ireland","Bangor","Main Street",7297051668,"B1312000513118","Home"
"A1118000776306","WWL8GQ","United Kingdom","England","Wolverhampton","Church Road",7688779010,"B1312000516477","Work"
"A1118000048389","PMO2SY","United Kingdom","England","Peterborough","Church Road",7969785698,"B1312000529410","Home"
"A1118000100582","DGN0BQ","United Kingdom","Scotland","Dundee","Station Road",7483755234,"B1312000201349","Work"
"A1118000378422","BNJ7RX","United Kingdom","Wales","Bangor","High Street",7185674821,"B1312000478218","Home"
"A1118000034943","RCB4EG","United Kingdom","England","Ripon","High Street",7696760628,"B1312000083168","Work"
"A1118000975247","MHJ7IG","United Kingdom","England","Milton Keynes","Park Avenue",7827778007,"B1312000628792","Work"
"A1118000658792","DRN1JO","United Kingdom","England","Durham","Main Street",7816383541,"B1312000506658","Work"
"A1118000232304","BOB0CY","United Kingdom","England","Brighton & Hove","Main Street",7556162603,"B1312000763210","Home"
"A1118000382707","SMO7ZP","United Kingdom","England","Salford","Main Street",7061034367,"B1312000052674","Work"
"A1118000608675","LRY9UZ","United Kingdom","England","Liverpool","Park Avenue",7589338332,"B1312000586521","Work"
"A1118000762205","AHZ1VB","United Kingdom","Northern Ireland","Armagh","High Street",7015907407,"B1312000615298","Home"
"A1118000117429","CIC8QC","United Kingdom","England","Chester","Main Street",7801618507,"B1312000611887","Work"
"A1118000122884","OZI9CI","United Kingdom","England","Oxford","Church Road",7707536371,"B1312000698705","Work"
"A1118000605644","DUD4LC","United Kingdom","England","Durham","Station Road",7375843388,"B1312000585160","Home"
"A1118000684556","MZT6NM","United Kingdom","England","Milton Keynes","Church Road",7252930011,"B1312000162978","Home"
"A1118000913469","OOW0KE","United Kingdom","England","Oxford","Church Road",7939222827,"B1312000537785","Work"
"A1118000358704","BYK2IJ","United Kingdom","England","Bristol","Park Avenue",7364241729,"B1312000027865","Work"
"A1118000271770","PJO6BG","United Kingdom","England","Peterborough","Church Road",7782975888,"B1312000405463","Home"
"A1118000128961","SQN7GC","United Kingdom","England","Sheffield","Park Avenue",7864737472,"B1312000498487","Home"
"A1118000437358","BNN0CR","United Kingdom","Northern Ireland","Belfast","Main Street",7716204897,"B1312000169599","Home"
"A1118000533481","PKQ1HE","United Kingdom","England","Plymouth","Station Road",7782779316,"B1312000205627","Home"
"A1118000717678","BEX1JV","United Kingdom","Wales","Bangor","Park Avenue",7884151229,"B1312000268489","Home"
"A1118000219251","ANL7CJ","United Kingdom","Northern Ireland","Armagh","Church Road",7538204368,"B1312000266652","Home"
"A1118000742601","SQV2SO","United Kingdom","England","Sunderland","Main Street",7734618510,"B1312000547298","Work"
"A1118000279772","PRC6PK","United Kingdom","England","Portsmouth","High Street",7036842792,"B1312000320687","Work"
"A1118000458207","BRZ0AF","United Kingdom","Northern Ireland","Belfast","Park Avenue",7250093308,"B1312000423623","Work"
"A1118000429472","BCT3KY","United Kingdom","England","Bath","Station Road",7950721970,"B1312000123913","Work"
"A1118000829978","BLE9NQ","United Kingdom","Northern Ireland","Bangor","High Street",7035203547,"B1312000524238","Home"
"A1118000656308","WSU6YX","United Kingdom","Wales","Wrexham","High Street",7441467559,"B1312000484135","Home"
"A1118000547298","BZK0OG","United Kingdom","Northern Ireland","Bangor","Main Street",7487964178,"B1312000327333","Work"
"A1118000563899","PGB9TP","United Kingdom","England","Preston","Church Road",7490021192,"B1312000283324","Home"
"A1118000297972","AEL3GA","United Kingdom","Scotland","Aberdeen","Church Road",7396211396,"B1312000247716","Home"
"A1118000623795","SVD8TX","United Kingdom","Wales","St Davids","Park Avenue",7751156027,"B1312000462640","Home"
"A1118000383564","CNX4DZ","United Kingdom","England","Chester","Station Road",7492039775,"B1312000460725","Home"
"A1118000038720","LPG7PO","United Kingdom","Northern Ireland","Londonderry","Church Road",7582194380,"B1312000165868","Home"
"A1118000073953","SIV3OR","United Kingdom","Wales","St Asaph","Church Road",7086210814,"B1312000238490","Work"
"A1118000630635","YCB7TZ","United Kingdom","England","York","Station Road",7693501290,"B1312000153138","Work"
"A1118000240826","TWC9TW","United Kingdom","England","Truro","Park Avenue",7378721237,"B1312000373902","Work"
"A1118000756603","LGP0AM","United Kingdom","England","Lichfield","Church Road",7518648188,"B1312000046265","Home"
"A1118000147888","SQI2RI","United Kingdom","England","Southampton","Park Avenue",7360150511,"B1312000085854","Work"
"A1118000887628","SUU9PH","United Kingdom","England","Sunderland","Station Road",7091920435,"B1312000721849","Work"
"A1118000228726","BWH7FE","United Kingdom","England","Bradford","Main Street",7729530528,"B1312000226864","Home"
"A1118000862349","YTP4IK","United Kingdom","England","York","Station Road",7582794788,"B1312000602350","Home"
"A1118000557523","NJW1RL","United Kingdom","England","Nottingham","Park Avenue",7024167077,"B1312000600539","Work"
"A1118000348386","BIJ6WD","United Kingdom","England","Birmingham","Station Road",7681248149,"B1312000392247","Home"
"A1118000743583","IYU3MC","United Kingdom","Scotland","Inverness","Park Avenue",7304749581,"B1312000344890","Home"
"A1118000880305","BIY4FG","United Kingdom","England","Bath","Main Street",7835874830,"B1312000140254","Home"
"A1118000252745","IBN2ZA","United Kingdom","Scotland","Inverness","Station Road",7086087235,"B1312000795448","Work"
"A1118000764954","PSN6RA","United Kingdom","England","Portsmouth","Main Street",7415405840,"B1312000436414","Home"
"A1118000953754","LSS1VC","United Kingdom","England","Lancaster","Main Street",7016338192,"B1312000611887","Work"
"A1118000727727","PRF0OP","United Kingdom","Scotland","Perth","High Street",7722486345,"B1312000651906","Home"
"A1118000754168","DTJ0PU","United Kingdom","England","Derby","Station Road",7339653068,"B1312000258797","Work"
"A1118000462640","EUN3YZ","United Kingdom","Scotland","Edinburgh","Main Street",7390938500,"B1312000177960","Home"
"A1118000676796","LAG1HN","United Kingdom","England","Leicester","High Street",7054782292,"B1312000434498","Home"
"A1118000316565","BNT6IT","United Kingdom","England","Bath","Church Road",7105857064,"B1312000351391","Work"
"A1118000239508","CPL7HA","United Kingdom","England","Canterbury","Station Road",7711755239,"B1312000059376","Work"
"A1118000752660","SLE7XT","United Kingdom","England","Stoke on Trent","Main Street",7239834963,"B1312000126977","Work"
"A1118000266652","CNR3TK","United Kingdom","England","Coventry","High Street",7946064761,"B1312000656308","Home"
"A1118000235636","RMH8UU","United Kingdom","England","Ripon","High Street",7971247147,"B1312000627341","Work"
"A1118000052674","BFT7YN","United Kingdom","Northern Ireland","Belfast","Station Road",7155827951,"B1312000264856","Work"
"A1118000856991","LSB6IA","United Kingdom","England","Lancaster","Main Street",7578383845,"B1312000241445","Work"
"A1118000307309","ETQ9OY","United Kingdom","Scotland","Edinburgh","Park Avenue",7365551480,"B1312000022939","Home"
"A1118000161795","MDW0LB","United Kingdom","England","Manchester","Station Road",7483857830,"B1312000664228","Home"
"A1118000197860","NDY8EN","United Kingdom","Wales","Newport","Church Road",7063675969,"B1312000168705","Home"
"A1118000784219","NCA1PA","United Kingdom","England","Newcastle-upon-Tyne","Station Road",7807104344,"B1312000018190","Home"
"A1118000945211","IXF6YD","United Kingdom","Scotland","Inverness","Main Street",7828998617,"B1312000476451","Work"
"A1118000566575","YCQ7DP","United Kingdom","England","York","High Street",7416148612,"B1312000332179","Home"
"A1118000471835","BRJ1WB","United Kingdom","England","Birmingham","High Street",7960801916,"B1312000364718","Work"
"A1118000699226","EVZ0FI","United Kingdom","England","Ely","High Street",7613293933,"B1312000353889","Work"
"A1118000532668","PHV2TR","United Kingdom","England","Portsmouth","Park Avenue",7802664795,"B1312000648263","Home"
"A1118000325809","ERP2FP","United Kingdom","Scotland","Edinburgh","Station Road",7227100755,"B1312000532668","Work"
"A1118000304930","SSW4VV","United Kingdom","Wales","St Asaph","Church Road",7991758638,"B1312000483745","Work"
"A1118000780391","KUH4YN","United Kingdom","England","Kingston-upon-Hull","Park Avenue",7238897399,"B1312000739701","Home"
"A1118000311357","CFE2LA","United Kingdom","England","Chelmsford","Main Street",7520418648,"B1312000787456","Home"
"A1118000798515","NCW7ZG","United Kingdom","England","Norwich","Main Street",7992254221,"B1312000019447","Home"
"A1118000303920","NQH0DW","United Kingdom","Wales","Newport","Park Avenue",7051070262,"B1312000174119","Home"
"A1118000257980","SCE7LE","United Kingdom","England","Salisbury","Church Road",7384992343,"B1312000508136","Work"
"A1118000840555","MDO2NA","United Kingdom","England","Milton Keynes","Park Avenue",7349366013,"B1312000571558","Home"
"A1118000330979","BGK0HU","United Kingdom","England","Brighton & Hove","High Street",7622405828,"B1312000461360","Home"
"A1118000924808","BBV7FT","United Kingdom","Wales","Bangor","High Street",7866002245,"B1312000782362","Home"
"A1118000647606","WUP4XF","United Kingdom","England","Wells","Church Road",7752863819,"B1312000152438","Work"
"A1118000758101","WTA0DV","United Kingdom","England","Winchester","Park Avenue",7072588972,"B1312000252745","Work"
"A1118000350684","NKD3FT","United Kingdom","Wales","Newport","Station Road",7598006914,"B1312000275156","Work"
"A1118000207644","BHB1KB","United Kingdom","England","Bradford","High Street",7434709558,"B1312000355783","Work"
"A1118000454926","OOS5SR","United Kingdom","England","Oxford","Station Road",7062053195,"B1312000017808","Work"
"A1118000997764","BVZ0GL","United Kingdom","England","Birmingham","High Street",7478369516,"B1312000062530","Work"
"A1118000345416","WJG9HL","United Kingdom","England","Wells","Church Road",7498067262,"B1312000326973","Home"
"A1118000723511","PYR2WH","United Kingdom","England","Portsmouth","Church Road",7548031407,"B1312000281615","Home"
"A1118000007217","SUY3ZC","United Kingdom","Wales","St Davids","Main Street",7482956016,"B1312000162978","Home"
"A1118000108184","BXP8KE","United Kingdom","England","Bath","High Street",7279075733,"B1312000145379","Work"
"A1118000751546","GIG1FA","United Kingdom","England","Gloucester","Church Road",7546127006,"B1312000442147","Work"
"A1118000324544","SGU1JS","United Kingdom","Wales","Swansea","High Street",7231078941,"B1312000615298","Home"
"A1118000422276","BCH4KM","United Kingdom","Northern Ireland","Bangor","Park Avenue",7225846958,"B1312000473822","Work"
"A1118000357959","LCD5VI","United Kingdom","England","Leicester","Station Road",7903549850,"B1312000605644","Home"
"A1118000592699","PTM9NT","United Kingdom","Scotland","Perth","Church Road",7981371761,"B1312000686119","Home"
"A1118000041122","LZV3YU","United Kingdom","England","Liverpool","Station Road",7910436536,"B1312000494521","Home"
"A1118000821628","BBS9GR","United Kingdom","Northern Ireland","Bangor","Park Avenue",7372533491,"B1312000409240","Home"
"A1118000210572","SQL1NB","United Kingdom","England","Sunderland","Church Road",7032225527,"B1312000631927","Home"
"A1118000858857","SHP6TE","United Kingdom","England","Southampton","Station Road",7728852404,"B1312000665947","Home"
"A1118000045323","LGE7ON","United Kingdom","England","Lichfield","High Street",7955111664,"B1312000546540","Home"
"A1118000528288","LDT8EG","United Kingdom","England","Lancaster","High Street",7785227302,"B1312000017808","Work"
"A1118000906664","PEQ8OR","United Kingdom","England","Plymouth","High Street",7712120824,"B1312000453567","Work"
"A1118000355783","MZW6DV","United Kingdom","England","Manchester","Main Street",7171856851,"B1312000570808","Home"
"A1118000736321","CHU3DI","United Kingdom","England","Carlisle","Park Avenue",7233405604,"B1312000101576","Home"
"A1118000262638","LON6JI","United Kingdom","Northern Ireland","Lisburn","Park Avenue",7062044898,"B1312000191976","Home"
"A1118000785843","BDK9MB","United Kingdom","England","Bristol","High Street",7612866857,"B1312000656308","Home"
"A1118000374129","SLA1RG","United Kingdom","England","Sheffield","Main Street",7775916024,"B1312000187732","Work"
"A1118000627341","WAM0TZ","United Kingdom","England","Wakefield","Main Street",7336083506,"B1312000281615","Home"
"A1118000310836","HVA5BD","United Kingdom","England","Hereford","Church Road",7483287493,"B1312000462640","Home"
"A1118000095770","EPO6PR","United Kingdom","England","Ely","High Street",7881541738,"B1312000616523","Home"
"A1118000151863","DKJ0JY","United Kingdom","England","Doncaster","High Street",7397091764,"B1312000557523","Home"
"A1118000865429","PZY6WH","United Kingdom","England","Preston","Main Street",7608994719,"B1312000268489","Home"
"A1118000030692","CYC8KS","United Kingdom","Wales","Cardiff","Park Avenue",7214010683,"B1312000779700","Work"
"A1118000394491","WUS3MO","United Kingdom","England","Wolverhampton","High Street",7973954671,"B1312000354989","Work"
"A1118000084994","LXS5AI","United Kingdom","England","Liverpool","Main Street",7626285394,"B1312000398437","Work"
"A1118000341659","KSZ6HP","United Kingdom","England","Kingston-upon-Hull","High Street",7147761867,"B1312000347321","Home"
"A1118000744886","CEC6CN","United Kingdom","England","Cambridge","Station Road",7195977053,"B1312000349833","Work"
"A1118000488990","LDH3PG","United Kingdom","England","Leicester","Park Avenue",7801530089,"B1312000076851","Home"
"A1118000195529","DIO2XZ","United Kingdom","England","Doncaster","Station Road",7528719414,"B1312000442147","Work"
"A1118000810611","LNA2YO","United Kingdom","England","Lincoln","Church Road",7869429465,"B1312000703938","Home"
"A1118000050171","BPH4JI","United Kingdom","England","Brighton & Hove","Church Road",7165224580,"B1312000618194","Work"
"A1118000244608","LDJ0JE","United Kingdom","Northern Ireland","Londonderry","Church Road",7369210681,"B1312000545632","Work"
"A1118000434498","EYR5BM","United Kingdom","Scotland","Edinburgh","Station Road",7001734883,"B1312000689691","Home"
"A1118000282429","COJ1KR","United Kingdom","England","Colchester","Church Road",7004731509,"B1312000395813","Work"
"A1118000886333","ERQ7DW","United Kingdom","Scotland","Edinburgh","Main Street",7495919932,"B1312000007217","Home"
"A1118000377473","RAZ3PO","United Kingdom","England","Ripon","Station Road",7113416003,"B1312000431563","Home"
"A1118000815427","PNA0IQ","United Kingdom","England","Preston","High Street",7811072226,"B1312000212224","Home"
"A1118000719995","KZP0RL","United Kingdom","England","Kingston-upon-Hull","Main Street",7992931371,"B1312000263618","Work"
"A1118000399843","MKB4CY","United Kingdom","England","Manchester","Station Road",7855351660,"B1312000498487","Home"
"A1118000450447","AAQ5JG","United Kingdom","Scotland","Aberdeen","High Street",7520883141,"B1312000609267","Work"
"A1118000191976","LSG1RY","United Kingdom","England","Lincoln","Station Road",7819803174,"B1312000759985","Work"
"A1118000657698","AFY2CH","United Kingdom","Northern Ireland","Armagh","Station Road",7162152663,"B1312000347321","Home"
"A1118000957490","SVO0QZ","United Kingdom","England","Stoke on Trent","Church Road",7018263937,"B1312000420563","Work"
"A1118000070846","EFM0FH","United Kingdom","Scotland","Edinburgh","Station Road",7192378685,"B1312000333582","Work"
"A1118000797187","DXG7DS","United Kingdom","England","Durham","Station Road",7809486240,"B1312000299856","Work"
"A1118000286636","CWE1IK","United Kingdom","England","Chichester","High Street",7869602860,"B1312000053240","Work"
"A1118000709354","ERU1CU","United Kingdom","Scotland","Edinburgh","Station Road",7937742419,"B1312000768987","Work"
"A1118000526470","MVG4XP","United Kingdom","England","Manchester","Main Street",7004316618,"B1312000463405","Work"
"A1118000186622","WJG1JS","United Kingdom","England","Westminster","Main Street",7400026793,"B1312000224388","Work"
"A1118000866732","WKJ9DU","United Kingdom","England","Wolverhampton","Church Road",7315525050,"B1312000780391","Home"
"A1118000716536","EQM4JU","United Kingdom","Scotland","Edinburgh","Park Avenue",7064098017,"B1312000700524","Work"
"A1118000149942","PFH3BA","United Kingdom","England","Peterborough","Station Road",7878007273,"B1312000799956","Work"
"A1118000817397","HWK7RP","United Kingdom","England","Hereford","High Street",7316947564,"B1312000251977","Work"
"A1118000326973","EWV3AL","United Kingdom","Scotland","Edinburgh","High Street",7357869287,"B1312000364718","Work"
"A1118000102579","BJB5ML","United Kingdom","England","Bradford","Park Avenue",7283947125,"B1312000530288","Home"
"A1118000208139","WSP1YI","United Kingdom","England","Wells","High Street",7685089592,"B1312000648263","Home"
"A1118000665947","LGV1FR","United Kingdom","England","Leicester","Church Road",7519542579,"B1312000670495","Home"
"A1118000894370","CWK0AL","United Kingdom","England","Canterbury","High Street",7072020662,"B1312000392247","Home"
"A1118000432483","SZE6RR","United Kingdom","England","Stoke on Trent","Church Road",7039720554,"B1312000690874","Home"
"A1118000477766","SIH9YJ","United Kingdom","England","Sheffield","Station Road",7765945953,"B1312000134250","Home"
"A1118000418277","LOZ6EW","United Kingdom","Northern Ireland","Londonderry","Main Street",7803213060,"B1312000769328","Work"
"A1118000795448","LJZ8PA","United Kingdom","England","Leeds","Church Road",7842236723,"B1312000619563","Work"
"A1118000778975","LQR1SF","United Kingdom","England","Liverpool","High Street",7309739146,"B1312000567338","Work"
"A1118000505778","WAJ5YN","United Kingdom","England","Wolverhampton","High Street",7214148832,"B1312000225284","Work"
"A1118000156554","AYV8SS","United Kingdom","Northern Ireland","Armagh","Main Street",7619402656,"B1312000601789","Work"
"A1118000406485","RJT6GH","United Kingdom","England","Ripon","Main Street",7173234178,"B1312000725236","Work"
"A1118000942479","LKL0LA","United Kingdom","England","Liverpool","Park Avenue",7672477842,"B1312000734319","Work"
"A1118000495711","CAY3HK","United Kingdom","Wales","Cardiff","Park Avenue",7360990392,"B1312000469986","Home"
"A1118000131212","HVB4ZM","United Kingdom","England","Hereford","Main Street",7448495099,"B1312000669433","Work"
"A1118000851558","WKD6LF","United Kingdom","England","Wakefield","Main Street",7448855973,"B1312000070846","Home"
"A1118000519343","BEI9MY","United Kingdom","Northern Ireland","Bangor","Church Road",7058563443,"B1312000636573","Home"
"A1118000939299","SEA1OR","United Kingdom","Wales","St Asaph","Main Street",7343724683,"B1312000550171","Work"
"A1118000384457","SYN7VO","United Kingdom","England","Southampton","Station Road",7497489069,"B1312000795448","Work"
"A1118000694380","CVJ9OZ","United Kingdom","England","Chichester","Park Avenue",7759789629,"B1312000080133","Work"
"A1118000575289","SAJ2ZA","United Kingdom","England","Southend-on-Sea","High Street",7582235831,"B1312000710698","Work"
"A1118000859580","NDJ2FT","United Kingdom","England","Norwich","Main Street",7264069172,"B1312000461360","Home"
"A1118000962587","KGM3WI","United Kingdom","England","Kingston-upon-Hull","Church Road",7668855700,"B1312000153138","Work"
"A1118000476451","OBL8IR","United Kingdom","England","Oxford","Park Avenue",7286380849,"B1312000140254","Home"
"A1118000452308","LYW6LW","United Kingdom","England","Lincoln","High Street",7394349796,"B1312000046265","Home"
"A1118000438593","CEM1NR","United Kingdom","England","Coventry","Park Avenue",7629994510,"B1312000437358","Work"
"A1118000150337","LRG6DE","United Kingdom","England","Lichfield","Park Avenue",7161063956,"B1312000199527","Work"
"A1118000622320","PHF9TK","United Kingdom","England","Portsmouth","Main Street",7189013176,"B1312000147888","Home"
"A1118000293781","SCJ3AT","United Kingdom","England","Sheffield","High Street",7653244681,"B1312000354989","Work"
"A1118000513118","BQK3IR","United Kingdom","Northern Ireland","Bangor","Church Road",7174331081,"B1312000234878","Home"
"A1118000820777","MGR8MA","United Kingdom","England","Milton Keynes","Station Road",7426342349,"B1312000582726","Work"
"A1118000380476","BZZ0VM","United Kingdom","England","Bath","Park Avenue",7629453262,"B1312000246556","Home"
"A1118000672939","EJI9JY","United Kingdom","Scotland","Edinburgh","High Street",7485990129,"B1312000505778","Home"
"A1118000824840","SNF2NP","United Kingdom","England","Sheffield","Park Avenue",7211860338,"B1312000563899","Home"
"A1118000164295","LZL5JH","United Kingdom","England","Lincoln","High Street",7367538174,"B1312000525398","Home"
"A1118000126977","MTF9GG","United Kingdom","England","Manchester","Park Avenue",7063954161,"B1312000163138","Work"
"A1118000107946","NUQ5EQ","United Kingdom","England","Norwich","Station Road",7700605742,"B1312000375316","Home"
"A1118000774717","SVU0ID","United Kingdom","Wales","St Davids","Station Road",7734689193,"B1312000215285","Work"
"A1118000389496","GIR7VV","United Kingdom","England","Gloucester","Station Road",7065153438,"B1312000438593","Home"
"A1118000464425","DSZ9AN","United Kingdom","England","Derby","Church Road",7374890666,"B1312000453567","Work"
"A1118000063189","WHQ4GV","United Kingdom","England","Wolverhampton","Main Street",7540617134,"B1312000481678","Home"
"A1118000579218","MGX5WV","United Kingdom","England","Manchester","Main Street",7124959992,"B1312000666985","Home"
"A1118000898308","CCO4HO","United Kingdom","England","Coventry","Main Street",7967384705,"B1312000688223","Home"
"A1118000564148","SMT0GB","United Kingdom","England","Stoke on Trent","Church Road",7238551891,"B1312000003278","Home"
"A1118000386523","LEA1FS","United Kingdom","Northern Ireland","Londonderry","Main Street",7338200046,"B1312000730630","Work"
"A1118000309500","NEK6EX","United Kingdom","Wales","Newport","Park Avenue",7519435145,"B1312000002562","Work"
"A1118000553776","HNE8XU","United Kingdom","England","Hereford","Park Avenue",7540884451,"B1312000291656","Home"
"A1118000576723","COR3WB","United Kingdom","England","Chichester","Main Street",7765233695,"B1312000666985","Home"
"A1118000796570","IMG0LQ","United Kingdom","Scotland","Inverness","Main Street",7131903491,"B1312000389496","Work"
"A1118000433221","EJE8IA","United Kingdom","England","Exeter","Church Road",7789212874,"B1312000729163","Work"
"A1118000897254","IQS1GO","United Kingdom","Scotland","Inverness","Station Road",7006739484,"B1312000625719","Work"
"A1118000414813","WRH4IC","United Kingdom","England","Wells","Church Road",7075378908,"B1312000157837","Home"
"A1118000581621","CKL5EW","United Kingdom","England","Chelmsford","Main Street",7328239571,"B1312000320687","Work"
"A1118000511402","BQN0ZJ","United Kingdom","England","Bath","Church Road",7456755112,"B1312000491403","Work"
"A1118000707266","MOZ1CF","United Kingdom","England","Milton Keynes","Main Street",7556297959,"B1312000466381","Work"
"A1118000816271","BJX5NY","United Kingdom","England","Bristol","Church Road",7553553426,"B1312000670495","Home"
"A1118000705694","SWC2WJ","United Kingdom","Wales","St Asaph","Church Road",7690014528,"B1312000222637","Work"
"A1118000340578","BUS0ZV","United Kingdom","England","Bath","Main Street",7906826937,"B1312000571558","Home"
"A1118000178263","EHP1QY","United Kingdom","Scotland","Edinburgh","High Street",7592479644,"B1312000027865","Work"
"A1118000767548","LSU8HU","United Kingdom","England","Lincoln","Station Road",7057840554,"B1312000059376","Work"
"A1118000463405","PRL3QJ","United Kingdom","England","Preston","Church Road",7294132403,"B1312000758101","Work"
"A1118000914629","DBA3NQ","United Kingdom","England","Doncaster","Main Street",7257822230,"B1312000605644","Home"
"A1118000480955","MJT7UR","United Kingdom","England","Milton Keynes","Station Road",7705774498,"B1312000618194","Work"
"A1118000748928","BUL8RI","United Kingdom","Northern Ireland","Bangor","Station Road",7262024309,"B1312000119226","Work"
"A1118000940336","OJP0TZ","United Kingdom","England","Oxford","Church Road",7524501614,"B1312000644747","Home"
"A1118000121785","LFQ5FE","United Kingdom","England","Liverpool","High Street",7915912262,"B1312000272960","Home"
